"_system_object_id";"_id";"T_Chronologie";"T_ChronologieDatMin";"T_ChronologieDatMax";"T_ChronologieTimespanFrom";"T_ChronologieTimespanTo";"easydb|row_idx";"easydb|operation";"easydb|status";"easydb|timestamp";"easydb|status_text";"easydb|warning_text";"easydb|id";"easydb|version";"easydb|id_parent";"easydb|depth";"easydb|path";"easydb|act|act__generic_actors";"easydb|act_role|act_role__all_fields";"easydb|generic_lang|generic_lang__all_fields";"easydb|generic_nametype|generic_nametype__all_fields";"easydb|bi|bi__all_fields";"easydb|ac|ac__all_fields";"easydb|pl|pl__all_fields";"easydb|generic_uncertainty|generic_uncert__all_fields";"easydb|generic_identifier_type|generic_identifier_type__all_fields";"easydb|hierarchy-oeu|oeu__all_fields_isler_v3";"easydb|generic_dimensions|generic_dimensions__all_fields";"easydb|generic_materials|art_materials__all_fields";"easydb|typology_shell|oeu_shell__all_fields";"easydb|oeu_nc_type|oeu_type__all_fields";"easydb|do|do__generic_import"
"111642";"16998";"Vorprojekt 1984";"01.01.1984";"31.12.1984";"1984";"1984";"0";"[""update""]";"ready";"";"";"";"16998";"14";"22594";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111643";"16999";"Anfrage 1982";"01.01.1982";"31.12.1982";"1982";"1982";"1";"[""update""]";"ready";"";"";"";"16999";"10";"16949";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111646";"17002";"Vorprojekt 1967";"01.01.1967";"31.12.1967";"1967";"1967";"2";"[""update""]";"ready";"";"";"";"17002";"9";"16952";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111648";"17004";"Acquisition 1972";"01.01.1972";"31.12.1972";"1972";"1972";"3";"[""update""]";"ready";"";"";"";"17004";"11";"16954";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111649";"17005";"Vorprojekt 1964";"01.01.1964";"31.12.1964";"1964";"1964";"4";"[""update""]";"ready";"";"";"";"17005";"12";"16955";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111650";"17006";"Vorprojekt 2000";"01.01.2000";"31.12.2000";"2000";"2000";"5";"[""update""]";"ready";"";"";"";"17006";"11";"16956";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111651";"17007";"Anfrage 1968";"01.01.1968";"31.12.1968";"1968";"1968";"6";"[""update""]";"ready";"";"";"";"17007";"10";"16957";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111654";"17010";"Kontakt 1989, Projekt Nachisolierung 1996";"01.01.1989";"31.12.1996";"1989";"1996";"7";"[""update""]";"ready";"";"";"";"17010";"14";"17974";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111655";"17011";"Vorprojekt 1963";"01.01.1963";"31.12.1963";"1963";"1963";"8";"[""update""]";"ready";"";"";"";"17011";"11";"16961";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111656";"17012";"Vorprojekt 1956";"01.01.1956";"31.12.1956";"1956";"1956";"9";"[""update""]";"ready";"";"";"";"17012";"14";"16962";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
